ID,Word,Spell Check,"In W2V,S2V",Replacements
CBM-702,tiger,tiger,Yes,tiger
CBM-702,dolphin,dolphin,Yes,dolphin
CBM-702,lion,lion,Yes,lion
CBM-702,penguin,penguin,Yes,penguin
CBM-702,flamingo,flamingo,No,bird
CBM-702,seagull,seagull,No,bird
CBM-702,pigeon,pigeon,Yes,pigeon
CBM-702,woodpecker,woodpecker,Yes,woodpecker
CBM-702,iguana,iguana,No,reptile
CBM-702,snake,snake,Yes,snake
CBM-702,snail,snail,Yes,snail
CBM-702,not_snails,snail,Yes,snail
CBM-702,goldfish,goldfish,Yes,goldfish
CBM-702,clownfish,clownfish,No,fish
CBM-702,dog,dog,Yes,dog
CBM-702,cat,cat,Yes,cat
CBM-702,gerbil,gerbil,No,rodents
CBM-702,snake,snake,Yes,snake
CBM-702,hamster,hamster,No,pets
CBM-702,rabbit,rabbit,Yes,rabbit
CBM-702,reptile,reptile,Yes,reptile
CBM-702,polar,polar,Yes,polar
CBM-702,grizzly,grizzly,Yes,grizzly
CBM-702,bear,bear,Yes,bear
CBM-702,hedgehog,hedgehog,Yes,hedgehog
CBM-702,porcupine,porcupine,Yes,porcupine
CBM-702,dinosaur,dinosaur,No,reptile
CBP-707,cow,cow,Yes,cow
CBP-707,pig,pig,Yes,pig
CBP-707,dog,dog,Yes,dog
CBP-707,cat,cat,Yes,cat
CBP-707,fish,fish,Yes,fish
CBP-707,bird,bird,Yes,bird
CBP-707,horse,horse,Yes,horse
CBP-707,elephant,elephant,Yes,elephant
CBP-707,tiger,tiger,Yes,tiger
CBP-707,cheetah,cheetah,No,feline
CBP-707,penguin,penguin,Yes,penguin
CBP-707,fish,fish,Yes,fish
CBP-707,shark,shark,Yes,shark
CBP-707,dolphin,dolphin,Yes,dolphin
CBP-707,whale,whale,Yes,whale
CBP-707,ant,ant,Yes,ant
CBP-707,centipede,centipede,Yes,centipede
CBP-707,millipede,millipede,No,insects
CBP-707,lizard,lizard,Yes,lizard
CBP-707,iguana,iguana,No,reptile
CBP-707,snake,snake,Yes,snake
CBP-707,mouse,mouse,Yes,mouse
CBP-707,rat,rat,Yes,rat
CBP-707,parrot,parrot,Yes,parrot
CBP-707,worm,worm,Yes,worm
CBP-707,elephant,elephant,Yes,elephant
CBP-707,monkey,monkey,Yes,monkey
CBP-707,gorilla,gorilla,Yes,gorilla
CBS-711,bear,bear,Yes,bear
CBS-711,tiger,tiger,Yes,tiger
CBS-711,rabbit,rabbit,Yes,rabbit
CBS-711,hamster,hamster,No,pets
CBS-711,gerbil,gerbil,No,rodents
CBS-711,bird,bird,Yes,bird
CBS-711,tiger,tiger,Yes,tiger
CBS-711,dolphin,dolphin,Yes,dolphin
CBS-711,seal,seal,Yes,seal
CBS-711,horse,horse,Yes,horse
CBS-711,kangaroo,kangaroo,Yes,kangaroo
CBS-711,cheetah,cheetah,No,feline
CBS-711,zebra,zebra,Yes,zebra
CBS-711,ostrich,ostrich,Yes,ostrich
CBS-711,rhino,rhinoceros,Yes,rhinoceros
CBS-711,hippo,hippopotamus,Yes,hippopotamus
CBS-711,whale,whale,Yes,whale
CBS-711,jaguar,jaguar,Yes,jaguar
CBS-711,dog,dog,Yes,dog
CBS-711,cat,cat,Yes,cat
CBS-711,monkey,monkey,Yes,monkey
CBS-711,alligator,alligator,Yes,alligator
