dimension,type,model,group,sum_NLL,mean_beta_semantic,mean_beta_freq,mean_beta_phon
50,alpha_0.4_w2v,forage_phonologicaldynamicswitch_norms_associative,NH,3471.527422660326,4.384557525791025,7.652863148474484,0.0125866756829137
50,alpha_0.4_w2v,forage_phonologicaldynamicglobal_norms_categorical,NH,3507.012793273074,3.5251200124928035,7.658946573040825,-0.0147983376087603
50,alpha_0.4_w2v,forage_phonologicaldynamiclocal_norms_categorical,NH,3506.024112293781,3.637629276904565,7.656810129897889,-0.1168621601500316
50,alpha_0.4_w2v,forage_phonologicaldynamicswitch_norms_categorical,NH,3497.733699361292,3.4344173082607248,7.643222769617949,0.0099376450417309
50,alpha_0.3_w2v,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=0.0,NH,3413.397471901472,5.276655484955198,7.786360432512136,-0.0256082534999482
50,alpha_0.4_w2v,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.0,NH,3400.922678945658,5.624128328336609,7.745953853936097,-0.1293651026800064
50,alpha_0.3_w2v,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=0.0,NH,3412.1998566320217,5.067113009767308,7.759149783392298,-0.0064752257164529
50,alpha_0.4_w2v,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=0.25,NH,3400.4681549573747,5.240236002607047,7.807365895339542,-0.0276527741931543
50,alpha_0.4_w2v,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.25,NH,3386.7499316551443,5.550120092070445,7.805984545584959,-0.1302275267977758
50,alpha_0.4_w2v,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=0.25,NH,3401.6507999755395,5.01843111399137,7.766521716510828,-0.0064351220281578
50,alpha_0.2_s2v,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=0.5,NH,3391.6578381086783,5.011373859554751,7.861951751019319,-0.0280979390305781
50,alpha_0.5_s2v,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.5,NH,3383.429670976061,5.20545731662074,7.843582363510722,-0.1292885766354419
50,alpha_0.0_s2v,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=0.5,NH,3392.6530743064886,4.7945356910536905,7.844924433791353,-0.0141574206827317
50,alpha_0.4_s2v,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=0.75,NH,3384.214464206136,4.926018625522762,7.950195817474252,-0.0290690082645497
50,alpha_0.4_s2v,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.75,NH,3374.095310613072,5.142081584534362,7.930826099336857,-0.1346238524428157
50,alpha_0.4_s2v,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=0.75,NH,3382.218930892801,4.73620585064984,7.910679527032024,-0.0782634471275709
50,alpha_0.4_s2v,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=1.0,NH,3393.0830763406075,4.586655012283327,8.01422341263486,-0.027524496168107
50,alpha_0.4_w2v,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=1.0,NH,3388.3406865934903,4.662340491219239,8.077568639119075,-0.0456118633601407
50,alpha_0.4_s2v,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=1.0,NH,3391.0942850925576,4.434786444712742,7.975743610920071,-0.2233849540920723
50,alpha_0.4_s2v,forage_phonologicaldynamicglobal_delta_rise=0.25_fall=0.0,NH,3406.975581457362,5.728782754888996,7.732101533459007,-0.027982686758451
50,alpha_0.3_w2v,forage_phonologicaldynamiclocal_delta_rise=0.25_fall=0.0,NH,3395.1453852046934,6.153259698213635,7.758213599892622,-0.1521510568514839
50,alpha_0.1_w2v,forage_phonologicaldynamicswitch_delta_rise=0.25_fall=0.0,NH,3407.6341043455004,5.333060055289761,7.769894961953528,0.0021225035923899
50,alpha_0.4_s2v,forage_phonologicaldynamicglobal_delta_rise=0.25_fall=0.25,NH,3390.97933629522,5.703313959524963,7.770502371366887,-0.0294826017228331
50,alpha_0.4_s2v,forage_phonologicaldynamiclocal_delta_rise=0.25_fall=0.25,NH,3383.383810097243,6.019728499184635,7.762041204700403,-0.1231282999911369
50,alpha_0.4_s2v,forage_phonologicaldynamicswitch_delta_rise=0.25_fall=0.25,NH,3392.139061371325,5.452461410827337,7.736305285070814,-0.0057375099955254
50,alpha_0.4_s2v,forage_phonologicaldynamicglobal_delta_rise=0.25_fall=0.5,NH,3382.715023696117,5.505539027412575,7.877034663576939,-0.030369375782468
50,alpha_0.4_s2v,forage_phonologicaldynamiclocal_delta_rise=0.25_fall=0.5,NH,3374.22781850301,5.784090105424243,7.866129456121575,-0.1361157127111633
50,only_w2v,forage_phonologicaldynamicswitch_delta_rise=0.25_fall=0.5,NH,3385.4612331149656,5.21724907652484,7.830315498363271,-0.0078708875281966
50,alpha_0.4_s2v,forage_phonologicaldynamicglobal_delta_rise=0.25_fall=0.75,NH,3370.894672260645,5.391961679284438,7.954252267933158,-0.0308090843533652
50,alpha_0.4_s2v,forage_phonologicaldynamiclocal_delta_rise=0.25_fall=0.75,NH,3358.657027181789,5.705310679746378,7.944313757049841,-0.1326260320993187
50,alpha_0.4_s2v,forage_phonologicaldynamicswitch_delta_rise=0.25_fall=0.75,NH,3371.5565650723274,5.150638512279735,7.917018819831059,-0.0730683189392933
50,alpha_0.4_s2v,forage_phonologicaldynamicglobal_delta_rise=0.25_fall=1.0,NH,3381.738843857708,4.940820631753685,8.031629314866096,-0.0287715489534384
50,alpha_0.4_s2v,forage_phonologicaldynamiclocal_delta_rise=0.25_fall=1.0,NH,3376.021036585191,5.065477348924337,8.019830100708045,-0.0475543345878545
50,alpha_0.4_s2v,forage_phonologicaldynamicswitch_delta_rise=0.25_fall=1.0,NH,3382.985470960237,4.762156056499598,7.994140796451697,-0.1513120829037695
50,alpha_0.3_s2v,forage_phonologicaldynamicglobal_delta_rise=0.5_fall=0.0,NH,3404.1618147056934,6.416423047317131,7.6724269372474945,-0.0287782985223403
50,alpha_0.3_w2v,forage_phonologicaldynamiclocal_delta_rise=0.5_fall=0.0,NH,3389.239703813174,6.899655858280393,7.661429215027268,-0.2730108685367186
50,alpha_0.3_s2v,forage_phonologicaldynamicswitch_delta_rise=0.5_fall=0.0,NH,3403.946715039873,6.183902499689825,7.646914086222297,-0.0037439323676683
50,alpha_0.3_s2v,forage_phonologicaldynamicglobal_delta_rise=0.5_fall=0.25,NH,3393.242172200573,6.42646061848457,7.70916341372404,-0.0298277196382675
50,alpha_0.3_w2v,forage_phonologicaldynamiclocal_delta_rise=0.5_fall=0.25,NH,3381.390465518032,6.621217269718973,7.714447121067579,-0.2701096407739516
50,alpha_0.3_s2v,forage_phonologicaldynamicswitch_delta_rise=0.5_fall=0.25,NH,3394.597188456171,6.185793790313868,7.67975966220139,-0.0010873400409049
50,alpha_0.2_s2v,forage_phonologicaldynamicglobal_delta_rise=0.5_fall=0.5,NH,3367.061096682537,6.423212382398016,7.807966699788519,-0.0318613210082895
50,alpha_0.2_s2v,forage_phonologicaldynamiclocal_delta_rise=0.5_fall=0.5,NH,3358.796787915104,6.948180325338723,7.7732337553956,-0.1563136962236784
50,alpha_0.2_s2v,forage_phonologicaldynamicswitch_delta_rise=0.5_fall=0.5,NH,3368.2857750182184,6.17314923811983,7.773871041109581,0.0022619955450378
50,alpha_0.3_s2v,forage_phonologicaldynamicglobal_delta_rise=0.5_fall=0.75,NH,3357.210039932909,6.154763441377545,7.925784505959566,-0.0322853168226438
50,alpha_0.3_s2v,forage_phonologicaldynamiclocal_delta_rise=0.5_fall=0.75,NH,3347.4684427819084,6.6682888251991645,7.881780439536564,-0.1536480076429088
50,alpha_0.3_s2v,forage_phonologicaldynamicswitch_delta_rise=0.5_fall=0.75,NH,3357.85089362957,5.914643388832369,7.8875887838930305,-0.0015168968044419
50,alpha_0.3_s2v,forage_phonologicaldynamicglobal_delta_rise=0.5_fall=1.0,NH,3369.648307567605,5.571206385844301,8.011810992976574,-0.0298741014249868
50,alpha_0.3_s2v,forage_phonologicaldynamiclocal_delta_rise=0.5_fall=1.0,NH,3362.9391742482694,5.949683867357937,7.981617263042783,-0.0679108973384812
50,alpha_0.3_w2v,forage_phonologicaldynamicswitch_delta_rise=0.5_fall=1.0,NH,3368.35892959625,4.913429146257776,8.047393090086528,-0.2081181170670289
50,alpha_0.5_s2v,forage_phonologicaldynamicglobal_delta_rise=0.75_fall=0.0,NH,3405.721732907992,6.849553318132855,7.608761809635082,-0.0298812656114015
50,alpha_0.5_s2v,forage_phonologicaldynamiclocal_delta_rise=0.75_fall=0.0,NH,3387.6459312069364,7.782030501045944,7.566403439551804,-0.252878433698456
50,alpha_0.5_s2v,forage_phonologicaldynamicswitch_delta_rise=0.75_fall=0.0,NH,3404.8113913131906,6.600355387202741,7.577211471380987,0.0041355969420689
50,alpha_0.3_s2v,forage_phonologicaldynamicglobal_delta_rise=0.75_fall=0.25,NH,3395.7153663822687,7.076212563434324,7.59991478440569,-0.0310486814181419
50,alpha_0.5_s2v,forage_phonologicaldynamiclocal_delta_rise=0.75_fall=0.25,NH,3381.7494591081195,7.547666100575425,7.596075131535798,-0.1738441842341219
50,alpha_0.5_s2v,forage_phonologicaldynamicswitch_delta_rise=0.75_fall=0.25,NH,3397.633333400397,6.437825031462645,7.607886844808911,0.0028012741949026
50,alpha_0.4_s2v,forage_phonologicaldynamicglobal_delta_rise=0.75_fall=0.5,NH,3374.8854058569573,6.94164690377776,7.714934842371237,-0.0334559141452925
50,alpha_0.4_s2v,forage_phonologicaldynamiclocal_delta_rise=0.75_fall=0.5,NH,3360.7735007189926,8.076853613460164,7.669483371823317,-0.2430755392580135
50,alpha_0.4_s2v,forage_phonologicaldynamicswitch_delta_rise=0.75_fall=0.5,NH,3376.703182223088,6.659369704837492,7.682981289370479,0.0007008098692229
50,alpha_0.4_s2v,forage_phonologicaldynamicglobal_delta_rise=0.75_fall=0.75,NH,3361.576062629116,6.717934862146191,7.805012754464838,-0.0337858405709968
50,alpha_0.4_s2v,forage_phonologicaldynamiclocal_delta_rise=0.75_fall=0.75,NH,3345.301058463514,7.759864176946212,7.761048138511173,-0.2481054494152989
50,alpha_0.4_s2v,forage_phonologicaldynamicswitch_delta_rise=0.75_fall=0.75,NH,3362.401760500726,6.438398459913852,7.771732280229065,0.0006228815376225
50,alpha_0.3_s2v,forage_phonologicaldynamicglobal_delta_rise=0.75_fall=1.0,NH,3373.117011448998,5.917423661365349,7.927972520849069,-0.0300767047150874
50,alpha_0.3_w2v,forage_phonologicaldynamiclocal_delta_rise=0.75_fall=1.0,NH,3364.2562598943814,5.775021626488877,7.991563102968715,-0.0620929202887432
50,alpha_0.3_w2v,forage_phonologicaldynamicswitch_delta_rise=0.75_fall=1.0,NH,3372.371420353088,5.240413580044402,7.984423575500161,-0.2429017060465044
50,alpha_0.2_s2v,forage_phonologicaldynamicglobal_delta_rise=1.0_fall=0.0,NH,3418.279189750025,7.53686552069679,7.50988685122291,-0.0296967069802611
50,alpha_0.4_s2v,forage_phonologicaldynamiclocal_delta_rise=1.0_fall=0.0,NH,3390.993750366089,9.475497420106944,7.466538981247285,-0.4371387816928255
50,alpha_0.2_s2v,forage_phonologicaldynamicswitch_delta_rise=1.0_fall=0.0,NH,3417.96331015947,7.272827815795309,7.491738474133727,-0.0001142954159714
50,alpha_0.3_s2v,forage_phonologicaldynamicglobal_delta_rise=1.0_fall=0.25,NH,3408.7622863157394,7.401929340838373,7.518451421809581,-0.0306604736724571
50,alpha_0.4_s2v,forage_phonologicaldynamiclocal_delta_rise=1.0_fall=0.25,NH,3383.0492064368423,9.389771830416963,7.4732056569306815,-0.389032842538658
50,alpha_0.3_s2v,forage_phonologicaldynamicswitch_delta_rise=1.0_fall=0.25,NH,3409.497496608401,7.128091064524207,7.493400100631144,0.0064818885381823
50,alpha_0.2_s2v,forage_phonologicaldynamicglobal_delta_rise=1.0_fall=0.5,NH,3386.274881019051,7.411042968978754,7.615925081615061,-0.0328110685267694
50,alpha_0.2_s2v,forage_phonologicaldynamiclocal_delta_rise=1.0_fall=0.5,NH,3368.914473244696,9.008858841266418,7.571043561163218,-0.3280718539077932
50,alpha_0.2_s2v,forage_phonologicaldynamicswitch_delta_rise=1.0_fall=0.5,NH,3387.622118721585,7.1207724193358,7.591169012276642,0.0067076132450535
50,alpha_0.3_s2v,forage_phonologicaldynamicglobal_delta_rise=1.0_fall=0.75,NH,3376.820376314854,7.007285950507706,7.715152118992325,-0.0323235085553528
50,alpha_0.4_s2v,forage_phonologicaldynamiclocal_delta_rise=1.0_fall=0.75,NH,3356.7044041016693,8.550724344181642,7.642788941464016,-0.2746719421182764
50,alpha_0.3_s2v,forage_phonologicaldynamicswitch_delta_rise=1.0_fall=0.75,NH,3379.346602288558,6.734524551545198,7.677818932402334,0.0104403190364191
50,alpha_0.3_s2v,forage_phonologicaldynamicglobal_delta_rise=1.0_fall=1.0,NH,3379.511598918386,6.129212150974562,7.846975221539068,-0.0297423323954209
50,alpha_0.4_s2v,forage_phonologicaldynamiclocal_delta_rise=1.0_fall=1.0,NH,3369.015617535785,7.311388589079515,7.777410476950909,-0.1114311554851737
50,alpha_0.4_s2v,forage_phonologicaldynamicswitch_delta_rise=1.0_fall=1.0,NH,3379.8205817994826,6.169615565105227,7.783247777155524,-0.0642585892710787
50,alpha_0.0_s2v,forage_random_baseline,NH,3915.869860507019,0.0,0.0,
50,alpha_0.4_w2v,forage_static,CI,2928.3537763576105,3.1798029330213016,8.978550008491277,
50,alpha_0.4_w2v,forage_dynamic_simdrop,CI,2872.9381136085885,4.500282380276135,8.737355132738374,
50,alpha_0.5_s2v,forage_dynamic_multimodal_alpha=0.0,CI,2939.4069569402163,3.190465845970416,8.900449033003838,
50,alpha_0.4_w2v,forage_dynamic_multimodal_alpha=0.1,CI,2928.828047916227,3.94809406320138,8.739873101003962,
50,alpha_0.4_w2v,forage_dynamic_multimodal_alpha=0.2,CI,2928.828047916247,3.9480932703395593,8.739869892416417,
50,alpha_0.4_w2v,forage_dynamic_multimodal_alpha=0.30000000000000004,CI,2925.4724044387626,4.003530756575311,8.756281604251141,
50,alpha_0.2_s2v,forage_dynamic_multimodal_alpha=0.4,CI,2913.129938420086,4.125136707392377,8.737290150124219,
50,alpha_0.4_w2v,forage_dynamic_multimodal_alpha=0.5,CI,2901.5812926560093,4.27077219798604,8.783671423433303,
50,alpha_0.4_w2v,forage_dynamic_multimodal_alpha=0.6000000000000001,CI,2895.439499286969,4.34036240252827,8.753430955058947,
50,alpha_0.4_w2v,forage_dynamic_multimodal_alpha=0.7000000000000001,CI,2881.7295124261536,4.425814765691053,8.740792676915582,
50,alpha_0.4_w2v,forage_dynamic_multimodal_alpha=0.8,CI,2877.7457726071366,4.4498122053858,8.737310412877578,
50,alpha_0.4_w2v,forage_dynamic_multimodal_alpha=0.9,CI,2872.7967718000414,4.470659647921942,8.729277621281064,
50,alpha_0.4_w2v,forage_dynamic_multimodal_alpha=1.0,CI,2872.938113608709,4.5002808971928925,8.737359588218427,
50,alpha_0.4_w2v,forage_dynamic_norms_associative,CI,2928.44668890733,5.157312304966313,8.494176414483567,
50,alpha_0.4_w2v,forage_dynamic_norms_categorical,CI,2945.9129784197607,4.6860254942925845,8.38157823500655,
50,alpha_0.5_s2v,forage_dynamic_delta_rise=0.0_fall=0.0,CI,2886.086160330848,5.398465911881123,8.365509091322714,
50,alpha_0.5_s2v,forage_dynamic_delta_rise=0.0_fall=0.25,CI,2869.357004172393,5.355742121380972,8.403559302416696,
50,alpha_0.4_w2v,forage_dynamic_delta_rise=0.0_fall=0.5,CI,2851.3391785139224,5.371087658927926,8.512764144951763,
50,alpha_0.5_s2v,forage_dynamic_delta_rise=0.0_fall=0.75,CI,2841.2452084835977,5.254373453003386,8.561230996599168,
50,alpha_0.5_s2v,forage_dynamic_delta_rise=0.0_fall=1.0,CI,2842.091380224665,5.035431775950751,8.661695881844619,
50,alpha_0.4_w2v,forage_dynamic_delta_rise=0.25_fall=0.0,CI,2890.449372021803,5.651733771338732,8.373890042860875,
50,alpha_0.4_w2v,forage_dynamic_delta_rise=0.25_fall=0.25,CI,2870.0938690912426,5.657314172704813,8.432437962787807,
